,precision,recall,f1-score,support
commercial unit,0.04838709677419355,0.015706806282722512,0.023715415019762844,191.0
flat,0.5514809590973202,0.6286173633440515,0.5875281743050338,622.0
houseorplot,0.4234875444839858,0.47695390781563124,0.44863336475023563,499.0
landparcel,0.358974358974359,0.24561403508771928,0.2916666666666667,171.0
others,0.2610294117647059,0.29707112970711297,0.27788649706457924,239.0
accuracy,0.4326364692218351,0.4326364692218351,0.4326364692218351,0.4326364692218351
macro avg,0.32867187421891286,0.33279264844744744,0.3258860235612556,1722.0
weighted avg,0.3991602912522028,0.4326364692218351,0.41238681213432504,1722.0
